#DateTime          Unixtime(UTC)   Abnormal_Large Probability[0-1]   Abnormal_Small Probability[0-1]   Abnormal State(Abnormal_Large=2, Abnormal_Small=1, Normal=0)
20220831_060000        1661925600           0.342                          0.346                            1
20220831_120000        1661947200           0.342                          0.346                            1
20220831_180000        1661968800           0.342                          0.346                            1
20220901_000000        1661990400           0.342                          0.346                            1
20220901_060000        1662012000           0.342                          0.346                            1
20220901_120000        1662033600           0.342                          0.346                            1
20220901_180000        1662055200           0.342                          0.346                            1
20220902_000000        1662076800           0.342                          0.346                            1
20220902_060000        1662098400           0.342                          0.346                            1
20220902_120000        1662120000           0.342                          0.346                            1
20220902_180000        1662141600           0.342                          0.346                            1
20220903_000000        1662163200           0.342                          0.346                            1
20220903_060000        1662184800           0.342                          0.346                            1
20220903_120000        1662206400           0.342                          0.346                            1
20220903_180000        1662228000           0.342                          0.346                            1
20220904_000000        1662249600           0.342                          0.346                            1
20220904_060000        1662271200           0.342                          0.346                            1
20220904_120000        1662292800           0.342                          0.346                            1
20220904_180000        1662314400           0.342                          0.346                            1
20220905_000000        1662336000           0.342                          0.346                            1
20220905_060000        1662357600           0.342                          0.346                            1
20220905_120000        1662379200           0.342                          0.346                            1
20220905_180000        1662400800           0.342                          0.346                            1
20220906_000000        1662422400           0.342                          0.346                            1
20220906_060000        1662444000           0.342                          0.346                            1
20220906_120000        1662465600           0.342                          0.346                            1
20220906_180000        1662487200           0.342                          0.346                            1
20220907_000000        1662508800           0.342                          0.346                            1
20220907_060000        1662530400           0.342                          0.346                            1
20220907_120000        1662552000           0.342                          0.346                            1
20220907_180000        1662573600           0.342                          0.346                            1
20220908_000000        1662595200           0.342                          0.346                            1
20220908_060000        1662616800           0.342                          0.346                            1
20220908_120000        1662638400           0.342                          0.346                            1
20220908_180000        1662660000           0.342                          0.346                            1
20220909_000000        1662681600           0.342                          0.346                            1
20220909_060000        1662703200           0.342                          0.346                            1
20220909_120000        1662724800           0.342                          0.346                            1
20220909_180000        1662746400           0.342                          0.346                            1
20220910_000000        1662768000           0.342                          0.346                            1
20220910_060000        1662789600           0.342                          0.346                            1
20220910_120000        1662811200           0.342                          0.346                            1
20220910_180000        1662832800           0.342                          0.346                            1
20220911_000000        1662854400           0.342                          0.346                            1
20220911_060000        1662876000           0.342                          0.346                            1
20220911_120000        1662897600           0.342                          0.346                            1
20220911_180000        1662919200           0.342                          0.346                            1
20220912_000000        1662940800           0.342                          0.346                            1
20220912_060000        1662962400           0.342                          0.346                            1
20220912_120000        1662984000           0.342                          0.346                            1
20220912_180000        1663005600           0.342                          0.346                            1
20220913_000000        1663027200           0.342                          0.346                            1
20220913_060000        1663048800           0.342                          0.346                            1
20220913_120000        1663070400           0.342                          0.346                            1
20220913_180000        1663092000           0.342                          0.346                            1
20220914_000000        1663113600           0.342                          0.346                            1
